refrigerant,bore_mm,season,hour,E_ac_kWh,E_vent_kWh
Propane,40.0,summer,5,0.9425294881420934,0.5797187512895721
Propane,40.0,summer,6,1.1950506792098394,0.7479583350527628
Propane,40.0,summer,7,0.947934587199635,0.5797187512895721
Propane,40.0,summer,8,1.244386709405939,0.7229583350527627
Propane,40.0,summer,9,1.2627226095189203,0.7229583350527627
Propane,40.0,summer,10,1.3053634150717603,0.7229583350527627
Propane,40.0,summer,11,1.3153400308829957,0.7229583350527627
Propane,40.0,summer,12,1.3231180207302784,0.7229583350527627
Propane,40.0,summer,13,1.3401270866458035,0.7229583350527627
Propane,40.0,summer,14,1.3592504211842684,0.7229583350527627
Propane,40.0,summer,15,1.52402279353071,0.8133281269343581
Propane,40.0,summer,16,1.368338050813168,0.7229583350527627
Propane,40.0,summer,17,1.2072596373521627,0.6325885431711674
Propane,40.0,summer,18,1.0183270599336738,0.542218751289572
Propane,40.0,summer,19,1.0338359448004728,0.542218751289572
Propane,40.0,summer,20,1.0201659399116276,0.542218751289572
Propane,40.0,summer,21,0.8569095205472307,0.4518489594079767
Propane,40.0,summer,22,0.8718070495539887,0.4518489594079767
Propane,40.0,summer,23,0.7022497934846932,0.3614791675263814
Propane,40.0,fall,0,0.36525414694627534,0.21823958376319066
Propane,40.0,fall,1,0.0,0.14999999999999997
Propane,40.0,fall,2,0.0,0.14999999999999997
Propane,40.0,fall,3,0.0,0.14999999999999997
Propane,40.0,fall,4,0.48522672759419155,0.358609375644786
Propane,40.0,fall,5,0.9101440185828447,0.5797187512895721
Propane,40.0,fall,6,0.9073446746516751,0.5797187512895721
Propane,40.0,fall,7,1.03226085603904,0.6575885431711673
Propane,40.0,fall,8,1.063030685893697,0.6700885431711674
Propane,40.0,fall,9,1.216083857419582,0.7479583350527628
Propane,40.0,fall,10,1.2177688753218425,0.7479583350527628
Propane,40.0,fall,11,1.0689867802913418,0.6575885431711673
Propane,40.0,fall,12,1.11351257824567,0.6700885431711674
Propane,40.0,fall,13,1.2328904090215194,0.7479583350527628
Propane,40.0,fall,14,1.0773237190990212,0.6575885431711673
Propane,40.0,fall,15,1.0565947805677922,0.6700885431711674
Propane,40.0,fall,16,1.2302261918747117,0.7479583350527628
Propane,40.0,fall,17,0.9289994021807697,0.5797187512895721
Propane,40.0,fall,18,0.9494998392523347,0.567218751289572
Propane,40.0,fall,19,0.8113419500513659,0.46434895940797666
Propane,40.0,fall,20,0.6876147245599206,0.41147916752638136
Propane,40.0,fall,21,0.5208835225839189,0.34610937564478605
Propane,40.0,fall,22,0.5248327958286636,0.333609375644786
Propane,40.0,fall,23,1.0272012493341647,0.542218751289572
Propane,50.0,winter,0,0.0,0.09999999999999999
Propane,50.0,winter,1,0.3526104558872648,0.20370279981499273
Propane,50.0,winter,2,0.6859002762387902,0.33240559962998545
Propane,50.0,winter,3,0.0,0.11249999999999996
Propane,50.0,winter,4,0.29138239307375113,0.2412027998149927
Propane,50.0,winter,5,0.0,0.14999999999999997
Propane,50.0,winter,6,1.0286725945268302,0.6273111992599709
Propane,50.0,winter,7,1.0188536382809557,0.627311199259971
Propane,50.0,winter,8,1.4891433935317206,0.8847167988899565
Propane,50.0,winter,9,1.4761499626951187,0.8847167988899565
Propane,50.0,winter,10,1.5341916204458976,0.8847167988899565
Propane,50.0,winter,11,1.5407746414889845,0.8847167988899565
Propane,50.0,winter,12,1.5081227829850308,0.8847167988899565
Propane,50.0,winter,13,1.5810623162534088,0.8847167988899565
Propane,50.0,winter,14,1.4802661647467592,0.8847167988899565
Propane,50.0,winter,15,1.4858819340776113,0.8847167988899565
Propane,50.0,winter,16,1.5130085706618548,0.8847167988899565
Propane,50.0,winter,17,1.3194465930721164,0.7310139990749637
Propane,50.0,winter,18,0.8604488441051164,0.4861083994449783
Propane,50.0,winter,19,0.0,0.14999999999999997
Propane,50.0,winter,20,0.0,0.13749999999999996
Propane,50.0,winter,21,0.0,0.13749999999999996
Propane,50.0,winter,22,0.0,0.12499999999999996
Propane,50.0,winter,23,0.0,0.11249999999999996
Propane,50.0,spring,0,0.0,0.09999999999999999
Propane,50.0,spring,1,0.0,0.13749999999999996
Propane,50.0,spring,2,0.0,0.12499999999999996
Propane,50.0,spring,3,0.0,0.11249999999999996
Propane,50.0,spring,4,0.0,0.14999999999999997
Propane,50.0,spring,5,0.8105068886712542,0.49860839944497826
Propane,50.0,spring,6,1.5465152835000153,0.8847167988899565
Propane,50.0,spring,7,1.5362382709620759,0.8847167988899565
Propane,50.0,spring,8,1.5542748095033687,0.8847167988899565
Propane,50.0,spring,9,1.6086708871775512,0.8847167988899565
Propane,50.0,spring,10,1.6035715243688617,0.8847167988899565
Propane,50.0,spring,11,1.9009673220061916,1.013419598704949
Propane,50.0,spring,12,1.6430578932761737,0.8847167988899565
Propane,50.0,spring,13,1.6915204690935965,0.8847167988899565
Propane,50.0,spring,14,1.919768360629019,1.0259195987049492
Propane,50.0,spring,15,1.6044738801720495,0.8847167988899565
Propane,50.0,spring,16,1.635443826522792,0.8847167988899565
Propane,50.0,spring,17,1.6183054651877884,0.8597167988899563
Propane,50.0,spring,18,1.127972024843972,0.589811199259971
Propane,50.0,spring,19,1.2154763123441497,0.602311199259971
Propane,50.0,spring,20,1.271723276810352,0.5898111992599709
Propane,50.0,spring,21,0.9749883993016555,0.4736083994449783
Propane,50.0,spring,22,1.317832197987075,0.5898111992599709
Propane,50.0,spring,23,1.3641631756564898,0.5648111992599709
Propane,50.0,summer,0,1.3433892925616604,0.5648111992599709
Propane,50.0,summer,1,1.3394357283131986,0.5648111992599709
Propane,50.0,summer,2,1.0475737117231252,0.4361083994449782
Propane,50.0,summer,3,1.3661553492773786,0.577311199259971
Propane,50.0,summer,4,1.5108022650620836,0.7310139990749637
Propane,50.0,summer,5,1.6364056165992198,0.8722167988899564
Propane,50.0,summer,6,1.6210681488413181,0.8847167988899565
Propane,50.0,summer,7,1.9328077473816698,1.0259195987049492
Propane,50.0,summer,8,1.6515672012990175,0.8597167988899563
Propane,50.0,summer,9,1.9197878678765328,0.9884195987049492
Propane,50.0,summer,10,1.9802863873315086,0.9884195987049492
Propane,50.0,summer,11,1.6572555093881007,0.8472167988899565
Propane,50.0,summer,12,2.332233348846987,1.1296223985199418
Propane,50.0,summer,13,1.78523676041531,0.8472167988899565
Propane,50.0,summer,14,2.0491772338734755,0.9884195987049492
Propane,50.0,summer,15,2.0636673266233125,0.9884195987049492
Propane,50.0,summer,16,2.0537359172817498,0.9884195987049492
Propane,50.0,summer,17,1.8166705268361123,0.8472167988899565
Propane,50.0,summer,18,1.5117678425698344,0.7060139990749638
Propane,50.0,summer,19,1.8542185223482357,0.8472167988899565
Propane,50.0,summer,20,1.2908570858034567,0.5648111992599709
Propane,50.0,summer,21,1.260829284359458,0.5648111992599709
Propane,50.0,summer,22,1.374988510336155,0.5648111992599709
Propane,50.0,summer,23,1.4056606786515764,0.5648111992599709
Propane,50.0,fall,0,1.0064117882791153,0.4486083994449782
Propane,50.0,fall,1,0.0,0.14999999999999997
Propane,50.0,fall,2,0.0,0.14999999999999997
Propane,50.0,fall,3,0.0,0.14999999999999997
Propane,50.0,fall,4,0.5731654721867012,0.38240559962998544
Propane,50.0,fall,5,1.6144000661543203,0.8722167988899564
Propane,50.0,fall,6,1.3054130023664259,0.7435139990749637
Propane,50.0,fall,7,1.4901196758261794,0.8847167988899565
Propane,50.0,fall,8,1.552617302998184,0.8847167988899565
Propane,50.0,fall,9,1.8824592653816874,1.0259195987049492
Propane,50.0,fall,10,1.6471800530625018,0.8847167988899565
Propane,50.0,fall,11,1.6015676511063728,0.8847167988899565
Propane,50.0,fall,12,1.6873460656443013,0.8847167988899565
Propane,50.0,fall,13,1.6726497872709607,0.8847167988899565
Propane,50.0,fall,14,1.6771899115772968,0.8847167988899565
Propane,50.0,fall,15,1.5655260966876103,0.8847167988899565
Propane,50.0,fall,16,1.6273188731046038,0.8847167988899565
Propane,50.0,fall,17,1.5949073125277358,0.8597167988899563
Propane,50.0,fall,18,1.4351390508631177,0.7310139990749637
Propane,50.0,fall,19,1.228258411031804,0.614811199259971
Propane,50.0,fall,20,1.2773938604413924,0.5898111992599709
Propane,50.0,fall,21,1.309352922920005,0.5898111992599709
Propane,50.0,fall,22,0.9857414236930435,0.4486083994449782
Propane,50.0,fall,23,1.3445964668703674,0.5648111992599709
R1234yf,30.0,winter,0,0.0,0.09999999999999999
R1234yf,30.0,winter,1,0.17120580115541717,0.18336222906791966
R1234yf,30.0,winter,2,0.3382065860565203,0.24172445813583926
R1234yf,30.0,winter,3,0.3375250723381796,0.2667244581358392
R1234yf,30.0,winter,4,0.2106315430392694,0.23614963875722617
R1234yf,30.0,winter,5,0.0,0.14999999999999997
R1234yf,30.0,winter,6,0.48539228431187176,0.40008668720375884
R1234yf,30.0,winter,7,0.6791977465871867,0.48344891627167846
R1234yf,30.0,winter,8,0.7162258300448343,0.48344891627167846
R1234yf,30.0,winter,9,0.7537271241881701,0.48344891627167846
R1234yf,30.0,winter,10,0.7745505826354211,0.48344891627167846
R1234yf,30.0,winter,11,0.7604603199646431,0.48344891627167846
R1234yf,30.0,winter,12,0.7306241454835469,0.48344891627167846
R1234yf,30.0,winter,13,0.7115642113192759,0.48344891627167846
R1234yf,30.0,winter,14,0.7266810250168559,0.48344891627167846
R1234yf,30.0,winter,15,0.7562475622411405,0.48344891627167846
R1234yf,30.0,winter,16,0.7508897658175087,0.48344891627167846
R1234yf,30.0,winter,17,0.6807025454943447,0.48344891627167846
R1234yf,30.0,winter,18,0.5216821687766542,0.41537409689306537
R1234yf,30.0,winter,19,0.21214104438654152,0.23614963875722617
R1234yf,30.0,winter,20,0.0,0.13749999999999996
R1234yf,30.0,winter,21,0.0,0.13749999999999996
R1234yf,30.0,winter,22,0.0,0.12499999999999996
R1234yf,30.0,winter,23,0.0,0.11249999999999996
R1234yf,30.0,spring,0,0.0,0.11249999999999999
R1234yf,30.0,spring,1,0.0,0.13749999999999996
R1234yf,30.0,spring,2,0.0,0.12499999999999996
R1234yf,30.0,spring,3,0.0,0.11249999999999996
R1234yf,30.0,spring,4,0.0,0.14999999999999997
R1234yf,30.0,spring,5,0.46982080481496774,0.40008668720375884
R1234yf,30.0,spring,6,0.6392841198277931,0.48344891627167846
R1234yf,30.0,spring,7,0.6776886396425087,0.48344891627167846
R1234yf,30.0,spring,8,0.715683375802046,0.48344891627167846
R1234yf,30.0,spring,9,0.7535125488831991,0.48344891627167846
R1234yf,30.0,spring,10,0.7744634945726443,0.48344891627167846
R1234yf,30.0,spring,11,0.7604513571746905,0.48344891627167846
R1234yf,30.0,spring,12,0.7306525035282505,0.48344891627167846
R1234yf,30.0,spring,13,0.7115862501539028,0.48344891627167846
R1234yf,30.0,spring,14,0.7266707111572234,0.48344891627167846
R1234yf,30.0,spring,15,0.7562152826536246,0.48344891627167846
R1234yf,30.0,spring,16,0.7508964649864007,0.48344891627167846
R1234yf,30.0,spring,17,0.6807844625706646,0.48344891627167846
R1234yf,30.0,spring,18,0.5303107392375377,0.41537409689306537
R1234yf,30.0,spring,19,0.4312700757576581,0.34729927751445233
R1234yf,30.0,spring,20,0.38015767638495757,0.30701186782514583
R1234yf,30.0,spring,21,0.32677235704741525,0.30422445813583926
R1234yf,30.0,spring,22,0.22360746039585394,0.22364963875722615
R1234yf,30.0,spring,23,0.11051861850969977,0.19307481937861307
R1234yf,30.0,summer,0,0.2897280218620112,0.2014370484465327
R1234yf,30.0,summer,1,0.40808651446399224,0.2820118678251458
R1234yf,30.0,summer,2,0.449680655472397,0.32229927751445236
R1234yf,30.0,summer,3,0.33890103493593626,0.25422445813583927
R1234yf,30.0,summer,4,0.5512992084556472,0.41537409689306537
R1234yf,30.0,summer,5,0.599845947448221,0.48344891627167846
R1234yf,30.0,summer,6,0.6275961005258683,0.48344891627167846
R1234yf,30.0,summer,7,0.6733623363509526,0.48344891627167846
R1234yf,30.0,summer,8,0.7140129753536596,0.48344891627167846
R1234yf,30.0,summer,9,0.7527626416128613,0.48344891627167846
R1234yf,30.0,summer,10,0.7741249312833867,0.48344891627167846
R1234yf,30.0,summer,11,0.7604415554710254,0.48344891627167846
R1234yf,30.0,summer,12,0.738130905958836,0.48344891627167846
R1234yf,30.0,summer,13,0.7538328535427438,0.48344891627167846
R1234yf,30.0,summer,14,0.7607582820150866,0.48344891627167846
R1234yf,30.0,summer,15,0.7657990552631074,0.48344891627167846
R1234yf,30.0,summer,16,0.7600281103633405,0.48344891627167846
R1234yf,30.0,summer,17,0.7495321059502814,0.48344891627167846
R1234yf,30.0,summer,18,0.7323184953349966,0.48344891627167846
R1234yf,30.0,summer,19,0.47927519974768173,0.32229927751445236
R1234yf,30.0,summer,20,0.5893280670730341,0.4028740968930654
R1234yf,30.0,summer,21,0.46590440076966544,0.32229927751445236
R1234yf,30.0,summer,22,0.46331998360360954,0.32229927751445236
R1234yf,30.0,summer,23,0.40489323794470794,0.2820118678251458
R1234yf,30.0,fall,0,0.11327574329252393,0.14307481937861305
R1234yf,30.0,fall,1,0.0,0.14999999999999997
R1234yf,30.0,fall,2,0.0,0.14999999999999997
R1234yf,30.0,fall,3,0.0,0.14999999999999997
R1234yf,30.0,fall,4,0.2665558086262334,0.2764370484465327
R1234yf,30.0,fall,5,0.623323776749283,0.48344891627167846
R1234yf,30.0,fall,6,0.6352990478761116,0.48344891627167846
R1234yf,30.0,fall,7,0.6762514229029657,0.48344891627167846
R1234yf,30.0,fall,8,0.7151458683783891,0.48344891627167846
R1234yf,30.0,fall,9,0.7532838482601669,0.48344891627167846
R1234yf,30.0,fall,10,0.774364574440191,0.48344891627167846
R1234yf,30.0,fall,11,0.7604459993700168,0.48344891627167846
R1234yf,30.0,fall,12,0.7306945482825983,0.48344891627167846
R1234yf,30.0,fall,13,0.7116179541583394,0.48344891627167846
R1234yf,30.0,fall,14,0.7266564639104751,0.48344891627167846
R1234yf,30.0,fall,15,0.7561699279268792,0.48344891627167846
R1234yf,30.0,fall,16,0.7509058045904584,0.48344891627167846
R1234yf,30.0,fall,17,0.6808997070634852,0.48344891627167846
R1234yf,30.0,fall,18,0.5324900882357452,0.41537409689306537
R1234yf,30.0,fall,19,0.43258899157493613,0.34729927751445233
R1234yf,30.0,fall,20,0.4337238120723962,0.3472992775144524
R1234yf,30.0,fall,21,0.32818210056992925,0.2792244581358393
R1234yf,30.0,fall,22,0.33053335701961906,0.30422445813583926
R1234yf,30.0,fall,23,0.3351014882928355,0.2667244581358393
R1234yf,40.0,winter,0,0.0,0.09999999999999999
R1234yf,40.0,winter,1,0.23233249638424663,0.20574412333975656
R1234yf,40.0,winter,2,0.0,0.09999999999999999
R1234yf,40.0,winter,3,0.0,0.09999999999999999
R1234yf,40.0,winter,4,0.20797969939779717,0.2307441233397565
R1234yf,40.0,winter,5,0.0,0.14999999999999997
R1234yf,40.0,winter,6,0.4930662006639253,0.4206103083493914
R1234yf,40.0,winter,7,0.8108291229318625,0.5979764933590263
R1234yf,40.0,winter,8,0.8002182231566346,0.5979764933590263
R1234yf,40.0,winter,9,0.8093492933508197,0.5979764933590263
R1234yf,40.0,winter,10,0.8972062611791,0.6570985550289046
R1234yf,40.0,winter,11,0.826297768885437,0.5979764933590263
R1234yf,40.0,winter,12,0.8238762287030268,0.5979764933590263
R1234yf,40.0,winter,13,0.8075985696966343,0.5979764933590263
R1234yf,40.0,winter,14,0.8141139966272184,0.5979764933590263
R1234yf,40.0,winter,15,0.9145107175226264,0.6695985550289045
R1234yf,40.0,winter,16,0.7954781390317192,0.5979764933590263
R1234yf,40.0,winter,17,0.6210662084644472,0.46723237001926965
R1234yf,40.0,winter,18,0.30676765897251235,0.30236618500963475
R1234yf,40.0,winter,19,0.0,0.14999999999999997
R1234yf,40.0,winter,20,0.0,0.13749999999999996
R1234yf,40.0,winter,21,0.0,0.13749999999999996
R1234yf,40.0,winter,22,0.0,0.12499999999999996
R1234yf,40.0,winter,23,0.0,0.11249999999999996
R1234yf,40.0,spring,0,0.0,0.11249999999999999
R1234yf,40.0,spring,1,0.0,0.13749999999999996
R1234yf,40.0,spring,2,0.0,0.12499999999999996
R1234yf,40.0,spring,3,0.0,0.11249999999999996
R1234yf,40.0,spring,4,0.0,0.14999999999999997
R1234yf,40.0,spring,5,0.5090512590468871,0.4206103083493914
R1234yf,40.0,spring,6,0.8010747285580155,0.5979764933590263
R1234yf,40.0,spring,7,0.813345906844174,0.5979764933590263
R1234yf,40.0,spring,8,0.8287263437051591,0.5979764933590263
R1234yf,40.0,spring,9,0.7999787975340167,0.5979764933590263
R1234yf,40.0,spring,10,1.0489475533938617,0.7287206166987829
