season,t,T,phi,X,T_dp,mode,Q_cool,Q_AC,Q_dem,W_el,W_comp,W_fan,COP_res
spring,725.0,21.93681964689473,0.2483797766927395,0.004097948087682687,0.9485815970162449,AC,5.208657960525253,5.208657960525253,4.583333333333333,1.4792722037567563,0.8692761085559877,0.6099960952007687,5.991948828753272
spring,730.0,21.42982366780099,0.2562005127159455,0.004097948087682687,0.9485815970162449,AC,5.151312695375099,5.151312695375099,4.566666666666666,1.4668384753211285,0.8568423801203598,0.6099960952007687,6.01197234741295
spring,735.0,20.954574478206506,0.26378402016385727,0.004097948087682687,0.9485815970162449,AC,5.0980285460905534,5.0980285460905534,4.55,1.4554531048016273,0.8454570096008587,0.6099960952007687,6.029908662650203
spring,740.0,20.508149247970856,0.27113836817588144,0.004097948087682687,0.9485815970162449,AC,5.048116489213916,5.048116489213916,4.533333333333333,1.4448716904703838,0.8348755952696151,0.6099960952007687,6.04654935156378
spring,745.0,20.087649768270445,0.278277207163798,0.004097948087682687,0.9485815970162449,AC,5.001547813435696,5.001547813435696,4.516666666666667,1.4351402729208727,0.8251441777201041,0.6099960952007687,6.061422898547391
spring,750.0,26.3038150296067,0.1911108405602114,0.004097948087682687,0.9485815970162449,OFF,0.0,0.0,4.5,0.0,0.0,0.0,0.0
spring,755.0,32.51859901092839,0.13354999834517278,0.004097948087682687,0.9485815970162449,VENT,0.0,0.0,4.5,0.15,0.0,0.15,0.0
spring,760.0,30.959573761895086,0.14588425481782075,0.004097948087682687,0.9485815970162449,AC,6.2984520009423814,6.2984520009423814,4.5,1.7529962824547356,1.1430001872539668,0.6099960952007687,5.5104557909778435
spring,765.0,29.54935923431351,0.15816064803537874,0.004097948087682687,0.9485815970162449,AC,6.12669195519749,6.12669195519749,4.5,1.706274202867816,1.0962781076670474,0.6099960952007687,5.588629301587987
spring,770.0,28.273315886444383,0.17028319003174489,0.004097948087682687,0.9485815970162449,AC,5.971848518966196,5.971848518966196,4.5,1.6654932025462919,1.055497107345523,0.6099960952007687,5.657853988804232
spring,775.0,27.118238038087384,0.18216793120564273,0.004097948087682687,0.9485815970162449,AC,5.832261452810352,5.832261452810352,4.5,1.6297344698206442,1.0197383746198756,0.6099960952007687,5.719370377705384
spring,780.0,26.07218446685795,0.19374404907120008,0.004097948087682687,0.9485815970162449,AC,5.7064649593655865,5.7064649593655865,4.5,1.5983077440414528,0.9883116488406841,0.6099960952007687,5.773952949010995
spring,785.0,25.138840679083632,0.2047773278178957,0.004097948087682687,0.9485815970162449,AC,5.593099362555032,5.593099362555032,4.516666666666667,1.5701945163080682,0.9601984211072995,0.6099960952007687,5.824941220071032
spring,790.0,24.307177404744053,0.2152084736891035,0.004097948087682687,0.9485815970162449,AC,5.492467647759211,5.492467647759211,4.533333333333333,1.5457281961449754,0.9357321009442066,0.6099960952007687,5.8697009990541105
spring,795.0,23.567308896421633,0.2249938699844934,0.004097948087682687,0.9485815970162449,AC,5.403247139016261,5.403247139016261,4.55,1.5244064632014398,0.914410368000671,0.6099960952007687,5.908995925790177
